cluster,ensembl_gene_id,external_gene_name
1,ENSG00000002587,HS3ST1
1,ENSG00000006327,TNFRSF12A
1,ENSG00000007255,TRAPPC6A
1,ENSG00000008516,MMP25
1,ENSG00000008838,MED24
1,ENSG00000009950,MLXIPL
1,ENSG00000013297,CLDN11
1,ENSG00000016602,CLCA4
1,ENSG00000017427,IGF1
1,ENSG00000018280,SLC11A1
1,ENSG00000019102,VSIG2
1,ENSG00000020426,MNAT1
1,ENSG00000023516,AKAP11
1,ENSG00000026751,SLAMF7
1,ENSG00000030582,GRN
1,ENSG00000034152,MAP2K3
1,ENSG00000037474,NSUN2
1,ENSG00000049656,CLPTM1L
1,ENSG00000057657,PRDM1
1,ENSG00000060762,MPC1
1,ENSG00000062716,VMP1
1,ENSG00000063241,ISOC2
1,ENSG00000064545,TMEM161A
1,ENSG00000066136,NFYC
1,ENSG00000068323,TFE3
1,ENSG00000068366,ACSL4
1,ENSG00000069399,BCL3
1,ENSG00000069849,ATP1B3
1,ENSG00000070669,ASNS
1,ENSG00000071051,NCK2
1,ENSG00000071537,SEL1L
1,ENSG00000072518,MARK2
1,ENSG00000073861,TBX21
1,ENSG00000074356,C17orf85
1,ENSG00000074590,NUAK1
1,ENSG00000074935,TUBE1
1,ENSG00000075420,FNDC3B
1,ENSG00000076984,MAP2K7
1,ENSG00000077147,TM9SF3
1,ENSG00000077238,IL4R
1,ENSG00000077254,USP33
1,ENSG00000078687,TNRC6C
1,ENSG00000081041,CXCL2
1,ENSG00000082898,XPO1
1,ENSG00000084207,GSTP1
1,ENSG00000085265,FCN1
1,ENSG00000085276,MECOM
1,ENSG00000085832,EPS15
1,ENSG00000086062,B4GALT1
1,ENSG00000086205,FOLH1
1,ENSG00000087088,BAX
1,ENSG00000087095,NLK
1,ENSG00000088247,KHSRP
1,ENSG00000088882,CPXM1
1,ENSG00000088888,MAVS
1,ENSG00000089199,CHGB
1,ENSG00000089248,ERP29
1,ENSG00000090013,BLVRB
1,ENSG00000090339,ICAM1
1,ENSG00000090382,LYZ
1,ENSG00000090447,TFAP4
1,ENSG00000090674,MCOLN1
1,ENSG00000091164,TXNL1
1,ENSG00000091542,ALKBH5
1,ENSG00000091640,SPAG7
1,ENSG00000092199,HNRNPC
1,ENSG00000095970,TREM2
1,ENSG00000095981,KCNK16
1,ENSG00000099194,SCD
1,ENSG00000099617,EFNA2
1,ENSG00000099800,TIMM13
1,ENSG00000099817,POLR2E
1,ENSG00000099901,RANBP1
1,ENSG00000100028,SNRPD3
1,ENSG00000100029,PES1
1,ENSG00000100083,GGA1
1,ENSG00000100116,GCAT
1,ENSG00000100216,TOMM22
1,ENSG00000100219,XBP1
1,ENSG00000100288,CHKB
1,ENSG00000100292,HMOX1
1,ENSG00000100299,ARSA
1,ENSG00000100359,SGSM3
1,ENSG00000100387,RBX1
1,ENSG00000100417,PMM1
1,ENSG00000100632,ERH
1,ENSG00000100644,HIF1A
1,ENSG00000100650,SRSF5
1,ENSG00000100804,PSMB5
1,ENSG00000100836,PABPN1
1,ENSG00000100911,PSME2
1,ENSG00000100983,GSS
1,ENSG00000101150,TPD52L2
1,ENSG00000101363,MANBAL
1,ENSG00000101670,LIPG
1,ENSG00000102172,SMS
1,ENSG00000102837,OLFM4
1,ENSG00000102908,NFAT5
1,ENSG00000103275,UBE2I
1,ENSG00000103363,TCEB2
1,ENSG00000103855,CD276
1,ENSG00000104142,VPS18
1,ENSG00000104812,GYS1
1,ENSG00000104856,RELB
1,ENSG00000104866,PPP1R37
1,ENSG00000104957,CCDC130
1,ENSG00000105281,SLC1A5
1,ENSG00000105383,CD33
1,ENSG00000105388,CEACAM5
1,ENSG00000105438,KDELR1
1,ENSG00000105472,CLEC11A
1,ENSG00000105538,RASIP1
1,ENSG00000105583,WDR83OS
1,ENSG00000105656,ELL
1,ENSG00000105699,LSR
1,ENSG00000105722,ERF
1,ENSG00000105793,GTPBP10
1,ENSG00000105835,NAMPT
1,ENSG00000106003,LFNG
1,ENSG00000106366,SERPINE1
1,ENSG00000106636,YKT6
1,ENSG00000106799,TGFBR1
1,ENSG00000106803,SEC61B
1,ENSG00000107281,NPDC1
1,ENSG00000108405,P2RX1
1,ENSG00000108424,KPNB1
1,ENSG00000108551,RASD1
1,ENSG00000108604,SMARCD2
1,ENSG00000108639,SYNGR2
1,ENSG00000108961,RANGRF
1,ENSG00000109113,RAB34
1,ENSG00000109180,OCIAD1
1,ENSG00000109220,CHIC2
1,ENSG00000109475,RPL34
1,ENSG00000110063,DCPS
1,ENSG00000110107,PRPF19
1,ENSG00000111199,TRPV4
1,ENSG00000111229,ARPC3
1,ENSG00000111231,GPN3
1,ENSG00000111331,OAS3
1,ENSG00000111775,COX6A1
1,ENSG00000112096,SOD2
1,ENSG00000112514,CUTA
1,ENSG00000112715,VEGFA
1,ENSG00000113811,SELK
1,ENSG00000114251,WNT5A
1,ENSG00000114626,ABTB1
1,ENSG00000114861,FOXP1
1,ENSG00000115112,TFCP2L1
1,ENSG00000115271,GCA
1,ENSG00000115386,REG1A
1,ENSG00000115457,IGFBP2
1,ENSG00000116016,EPAS1
1,ENSG00000116095,PLEKHA3
1,ENSG00000116560,SFPQ
