# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-5783
# Timestamp: Fri, 13-Aug-2021 12:13:54
Gene ID	Gene Name	'Crohn's disease' vs 'normal' .foldChange	'Crohn's disease' vs 'normal'.pValue
ENSG00000000005	TNMD	0.7	0.133672595117255
ENSG00000000457	SCYL3	0.1	0.659078859025866
ENSG00000000938	FGR	0.3	0.554393914499345
ENSG00000000971	CFH	0.2	0.423025898498921
ENSG00000001084	GCLC	0.1	0.488256558992525
ENSG00000001167	NFYA	-0.2	0.535685956642759
ENSG00000001460	STPG1	0.1	0.87183268031509
ENSG00000001461	NIPAL3	-0.2	0.285527064703677
ENSG00000001497	LAS1L	-0.1	0.817512366610727
ENSG00000001561	ENPP4	-0.3	0.0551886321821264
ENSG00000001617	SEMA3F	0.2	0.69337185314665
ENSG00000001626	CFTR	-0.1	0.806451138119205
ENSG00000001631	KRIT1	-0.2	0.611235883303676
ENSG00000002016	RAD52	-0.1	0.874865015121076
ENSG00000002549	LAP3	0.1	0.640686874945818
ENSG00000002587	HS3ST1	0.3	0.547652711894155
ENSG00000002726	AOC1	-0.4	0.144364331180351
ENSG00000002745	WNT16	-0.4	0.553483765037568
ENSG00000002746	HECW1	-0.3	0.668649451373492
ENSG00000002822	MAD1L1	-0.2	0.763276199416148
ENSG00000002834	LASP1	-0.4	0.00450049594644952
ENSG00000002919	SNX11	0.2	0.523802933224412
ENSG00000003056	M6PR	0.3	0.228040582447224
ENSG00000003096	KLHL13	-0.2	0.555807889755611
ENSG00000003137	CYP26B1	0.2	0.714003153381265
ENSG00000003147	ICA1	0.1	0.781706447131541
ENSG00000003249	DBNDD1	-0.4	0.446568025168146
ENSG00000003400	CASP10	0.5	0.00827815566875458
ENSG00000003436	TFPI	0.2	0.348971546467382
ENSG00000003509	NDUFAF7	0.1	0.891263290944059
ENSG00000003756	RBM5	-0.3	0.0243193654256473
ENSG00000003987	MTMR7	0.3	0.496476686102483
ENSG00000003989	SLC7A2	0.3	0.280765302441691
ENSG00000004059	ARF5	-0.7	0.146441192129147
ENSG00000004142	POLDIP2	-0.4	0.0228803758022014
ENSG00000004399	PLXND1	0.4	0.0509898694200356
ENSG00000004468	CD38	0.3	0.437238092151455
ENSG00000004478	FKBP4	-0.4	0.0893305707780479
ENSG00000004487	KDM1A	-0.3	0.0753105804895202
ENSG00000004660	CAMKK1	-0.2	0.731495436422475
ENSG00000004700	RECQL	-0.2	0.660561046686154
ENSG00000004766	VPS50	-0.1	0.811422814750348
ENSG00000004776	HSPB6	0.5	0.0653597134475676
ENSG00000004779	NDUFAB1	0.2	0.432929680118805
ENSG00000004799	PDK4	-0.1	0.89217489097322
ENSG00000004838	ZMYND10	0.4	0.486173653694103
ENSG00000004846	ABCB5	0.5	0.363453687305548
ENSG00000004864	SLC25A13	-0.1	0.784418114289694
ENSG00000004866	ST7	0.2	0.606166699934959
ENSG00000004897	CDC27	0.4	0.0111427331255675
ENSG00000004939	SLC4A1	-0.1	0.921696568919976
ENSG00000004961	HCCS	0.4	0.176075055282214
ENSG00000005007	UPF1	-0.1	0.631830104256536
ENSG00000005020	SKAP2	-0.2	0.277241819680676
ENSG00000005022	SLC25A5	0.4	0.0563289688925236
ENSG00000005059	MCUB	0.4	0.103552000639118
ENSG00000005100	DHX33	-0.1	0.905153635231076
ENSG00000005102	MEOX1	0.3	0.573909977917454
ENSG00000005108	THSD7A	0.5	0.0899247798479312
ENSG00000005156	LIG3	-0.5	0.00107291308737452
ENSG00000005175	RPAP3	-0.2	0.466828263756259
ENSG00000005187	ACSM3	0.1	0.882676242549779
ENSG00000005189	REXO5	0.1	0.847939976870725
ENSG00000005206	SPPL2B	-0.1	0.78267205310696
ENSG00000005238	FAM214B	-0.1	0.886575150432916
ENSG00000005243	COPZ2	0.1	0.934235431547925
ENSG00000005249	PRKAR2B	0.4	0.0735096972567206
ENSG00000005302	MSL3	0.2	0.480113448044557
ENSG00000005339	CREBBP	-0.2	0.00732232113227286
ENSG00000005379	TSPOAP1	-0.2	0.700419387816871
ENSG00000005421	PON1	-0.2	0.797359890661519
ENSG00000005436	GCFC2	0.2	0.494184768637024
ENSG00000005448	WDR54	-0.2	0.6863719811122
ENSG00000005469	CROT	-0.5	0.00224705344900664
ENSG00000005471	ABCB4	-0.1	0.778622870786106
ENSG00000005483	KMT2E	0.1	0.581046706138457
ENSG00000005486	RHBDD2	-0.1	0.75043094600173
ENSG00000005700	IBTK	0.4	0.00492312966794498
ENSG00000005801	ZNF195	0.2	0.262145726472127
ENSG00000005810	MYCBP2	-0.2	0.386887596013405
ENSG00000005812	FBXL3	-0.3	0.138317363073598
ENSG00000005844	ITGAL	0.1	0.86610500630946
ENSG00000005882	PDK2	-0.8	1.54329627134898E-4
ENSG00000005884	ITGA3	-0.6	0.00564987562463182
ENSG00000005889	ZFX	-0.1	0.507570971398887
ENSG00000005893	LAMP2	0.1	0.493633032003278
ENSG00000005961	ITGA2B	0.3	0.634950861708373
ENSG00000006007	GDE1	-0.2	0.469868076968137
ENSG00000006015	REX1BD	0.3	0.445415583046059
ENSG00000006016	CRLF1	0.2	0.79588231142271
ENSG00000006025	OSBPL7	-0.4	0.0938407247796031
ENSG00000006042	TMEM98	-0.4	0.105816404639323
ENSG00000006062	MAP3K14	-0.8	0.00597278433382567
ENSG00000006071	ABCC8	0.1	0.910869211422259
ENSG00000006116	CACNG3	0.4	0.515392744236526
ENSG00000006118	TMEM132A	0.2	0.807087460104003
ENSG00000006125	AP2B1	0.1	0.596504122791185
ENSG00000006128	TAC1	0.7	0.132162319565611
ENSG00000006194	ZNF263	-0.1	0.779447216532182
ENSG00000006210	CX3CL1	-0.3	0.405884626425878
ENSG00000006282	SPATA20	0.1	0.852122470667479
ENSG00000006327	TNFRSF12A	1.5	9.45928121907816E-6
ENSG00000006432	MAP3K9	-0.3	0.35462949182464
ENSG00000006451	RALA	0.2	0.512082879968547
ENSG00000006459	KDM7A	0.1	0.426391611595433
ENSG00000006530	AGK	-0.1	0.809395253199948
ENSG00000006534	ALDH3B1	-0.4	0.345289866538351
ENSG00000006555	TTC22	-0.4	0.0905460441317862
ENSG00000006576	PHTF2	0.3	0.22147747124637
ENSG00000006611	USH1C	-0.5	0.0151044009509987
ENSG00000006625	GGCT	0.3	0.348803001948714
ENSG00000006634	DBF4	0.5	0.206885947721015
ENSG00000006695	COX10	0.2	0.586208535399263
ENSG00000006704	GTF2IRD1	-0.1	0.921080838678859
ENSG00000006712	PAF1	-0.4	0.0772699887092593
ENSG00000006715	VPS41	-0.1	0.770717053940485
ENSG00000006740	ARHGAP44	0.6	0.0119362185242382
ENSG00000006744	ELAC2	0.4	0.073100379184243
ENSG00000006747	SCIN	-0.4	0.0479113771840565
ENSG00000006756	ARSD	0.2	0.329271535810488
ENSG00000006757	PNPLA4	-0.1	0.878785895000118
ENSG00000006831	ADIPOR2	0.2	0.519076120236335
ENSG00000006837	CDKL3	-0.1	0.859395394680703
ENSG00000007047	MARK4	-0.4	0.0351456359566448
ENSG00000007062	PROM1	-0.5	0.0129824048328413
ENSG00000007080	CCDC124	-0.1	0.930160113076004
ENSG00000007129	CEACAM21	0.2	0.789367023787924
ENSG00000007168	PAFAH1B1	-0.1	0.402022981377176
ENSG00000007171	NOS2	1.0	0.02087531852136
ENSG00000007174	DNAH9	0.1	0.945074417352786
ENSG00000007202	KIAA0100	-0.5	1.52491751392954E-5
ENSG00000007216	SLC13A2	-0.3	0.435239982503413
ENSG00000007255	TRAPPC6A	0.8	0.00550337789053015
ENSG00000007264	MATK	-0.6	0.284664223384668
ENSG00000007306	CEACAM7	-0.2	0.760098791996437
ENSG00000007314	SCN4A	-0.5	0.355590863109452
ENSG00000007392	LUC7L	0.1	0.826800302927604
ENSG00000007402	CACNA2D2	0.1	0.757820989343563
ENSG00000007516	BAIAP3	-0.5	0.418709577525367
ENSG00000007520	TSR3	-0.6	0.124334699089664
ENSG00000007541	PIGQ	-0.1	0.809281064927121
ENSG00000007545	CRAMP1	-0.6	0.0487922899548719
ENSG00000007866	TEAD3	-0.1	0.841628466829856
ENSG00000007908	SELE	0.7	0.12716942489137
ENSG00000007933	FMO3	-0.4	0.462528459502549
ENSG00000007944	MYLIP	0.3	0.360167222539217
ENSG00000007952	NOX1	0.3	0.550748237342807
ENSG00000007968	E2F2	-0.1	0.817391228467666
ENSG00000008018	PSMB1	-0.1	0.700419387816871
ENSG00000008056	SYN1	-0.8	0.0167945350744098
ENSG00000008083	JARID2	0.3	0.0618466893500607
ENSG00000008086	CDKL5	-0.1	0.70157000671738
ENSG00000008118	CAMK1G	0.2	0.833465010315008
ENSG00000008128	CDK11A	-0.1	0.916174453894312
ENSG00000008130	NADK	-0.5	0.154839564868304
ENSG00000008226	DLEC1	-0.2	0.802783049435916
ENSG00000008256	CYTH3	0.1	0.702719725659817
ENSG00000008277	ADAM22	-0.5	0.0426051005559364
ENSG00000008282	SYPL1	0.3	0.332830121790205
ENSG00000008283	CYB561	-0.4	0.0447753223393622
ENSG00000008294	SPAG9	-0.1	0.649361359505464
ENSG00000008300	CELSR3	0.2	0.740563603368052
ENSG00000008323	PLEKHG6	-0.2	0.652592718252464
ENSG00000008324	SS18L2	0.3	0.343576981453067
ENSG00000008382	MPND	0.8	0.0314399030576262
ENSG00000008405	CRY1	0.3	0.400663826754912
ENSG00000008438	PGLYRP1	-0.4	0.451585534607606
ENSG00000008441	NFIX	0.2	0.293215614324699
ENSG00000008513	ST3GAL1	0.1	0.651558617869847
ENSG00000008516	MMP25	0.9	0.0061723122473603
ENSG00000008517	IL32	-0.4	0.214375051560553
ENSG00000008710	PKD1	-0.3	0.483111657345417
ENSG00000008838	MED24	0.9	4.30521448258861E-8
ENSG00000008853	RHOBTB2	-0.4	0.0766648581526121
ENSG00000008869	HEATR5B	-0.2	0.160392596217322
ENSG00000008952	SEC62	0.1	0.662075460441529
ENSG00000008988	RPS20	-0.4	1.54470681100893E-4
ENSG00000009307	CSDE1	-0.4	1.78184572602376E-6
ENSG00000009335	UBE3C	-0.1	0.447266985886835
ENSG00000009413	REV3L	0.2	0.323062679129743
ENSG00000009694	TENM1	-0.3	0.255151549156039
ENSG00000009724	MASP2	-0.3	0.0892998981126335
ENSG00000009765	IYD	-0.5	0.00719483542296292
ENSG00000009780	FAM76A	0.1	0.771861094295404
ENSG00000009790	TRAF3IP3	0.7	0.0461619054780612
ENSG00000009830	POMT2	0.1	0.668682109691677
ENSG00000009950	MLXIPL	1.2	4.28652007827432E-6
ENSG00000010017	RANBP9	-0.1	0.772724651769922
ENSG00000010030	ETV7	0.9	0.0206528471484191
ENSG00000010072	SPRTN	-0.3	0.262877540254419
